        Frequency / MHz                S1,1/abs,dB
                  1026.6                     -0.67890074
                  1029.2                     -0.61953634
                  1031.8                     -0.56568326
                  1034.4                     -0.51687229
                    1037                     -0.47262683
                  1039.6                     -0.43247711
                  1042.2                      -0.3959729
                  1044.8                     -0.36269467
                  1047.4                     -0.33226039
                    1050                     -0.30433121
                  1052.6                     -0.27861282
                  1055.2                     -0.25485698
                  1057.8                     -0.23285788
                  1060.4                     -0.21245076
                    1063                      -0.1935062
                  1065.6                     -0.17592469
                  1068.2                     -0.15962996
                  1070.8                     -0.14456244
                  1073.4                     -0.13067181
                    1076                     -0.11791194
                  1078.6                     -0.10623554
                  1081.2                    -0.095590935
                  1083.8                     -0.08592054
                  1086.4                    -0.077160325
                    1089                    -0.069241342
                  1091.6                    -0.062091467
                  1094.2                    -0.055637321
                  1096.8                    -0.049807202
                  1099.4                    -0.044532777
                    1102                     -0.03975117
                  1104.6                    -0.035405765
                  1107.2                    -0.031447315
                  1109.8                    -0.027833944
                  1112.4                    -0.024531274
                    1115                    -0.021511639
                  1117.6                    -0.018753588
                  1120.2                    -0.016240639
                  1122.8                    -0.013960362
                  1125.4                    -0.011903093
                    1128                    -0.010060619
                  1130.6                   -0.0084252717
                  1133.2                   -0.0069887794
                  1135.8                   -0.0057418389
                  1138.4                   -0.0046737482
                    1141                   -0.0037724012
                  1143.6                   -0.0030247742
                  1146.2                   -0.0024173408
                  1148.8                    -0.001936811
                  1151.4                   -0.0015707695
                    1154                   -0.0013083774
                  1156.6                   -0.0011408284
                  1159.2                   -0.0010614435
                  1161.8                   -0.0010660763
                  1164.4                    -0.001152811
                    1167                    -0.001321925
                  1169.6                   -0.0015754986
                  1172.2                   -0.0019170247
                  1174.8                    -0.002350824
                  1177.4                    -0.002881478
                    1180                   -0.0035130649
                  1182.6                   -0.0042485329
                  1185.2                   -0.0050886502
                  1187.8                   -0.0060314332
                  1190.4                   -0.0070709844
                    1193                   -0.0081973054
                  1195.6                   -0.0093956301
                  1198.2                    -0.010646559
                  1200.8                    -0.011926827
                  1203.4                    -0.013210514
                    1206                      -0.0144709
                  1208.6                    -0.015682866
                  1211.2                    -0.016825211
                  1213.8                    -0.017883088
                  1216.4                    -0.018849311
                    1219                    -0.019724894
                  1221.6                    -0.020519482
                  1224.2                    -0.021249312
                  1226.8                    -0.021936348
                  1229.4                    -0.022605363
                    1232                    -0.023282985
                  1234.6                     -0.02399513
                  1237.2                    -0.024766085
                  1239.8                    -0.025617305
                  1242.4                    -0.026566467
                    1245                    -0.027627447
                  1247.6                    -0.028809736
                  1250.2                    -0.030118692
                  1252.8                    -0.031554974
                  1255.4                    -0.033115293
                    1258                    -0.034792308
                  1260.6                    -0.036575086
                  1263.2                    -0.038449329
                  1265.8                    -0.040398411
                  1268.4                    -0.042403664
                    1271                    -0.044445533
                  1273.6                    -0.046504483
                  1276.2                    -0.048561763
                  1278.8                    -0.050600763
                  1281.4                    -0.052607288
                    1284                    -0.054570805
                  1286.6                    -0.056484565
                  1289.2                    -0.058345893
                  1291.8                    -0.060156286
                  1294.4                    -0.061920917
                    1297                    -0.063648287
                  1299.6                    -0.065349583
                  1302.2                    -0.067037888
                  1304.8                    -0.068727338
                  1307.4                     -0.07043256
                    1310                    -0.072167936
                  1312.6                    -0.073946634
                  1315.2                    -0.075780446
                  1317.8                    -0.077679131
                  1320.4                    -0.079650603
                    1323                    -0.081700488
                  1325.6                    -0.083832233
                  1328.2                    -0.086047585
                  1330.8                    -0.088346582
                  1333.4                     -0.09072812
                    1336                     -0.09319059
                  1338.6                    -0.095731701
                  1341.2                    -0.098349437
                  1343.8                     -0.10104242
                  1346.4                     -0.10380961
                    1349                     -0.10665115
                  1351.6                     -0.10956807
                  1354.2                     -0.11256231
                  1356.8                     -0.11563673
                  1359.4                     -0.11879499
                    1362                     -0.12204146
                  1364.6                     -0.12538101
                  1367.2                     -0.12881889
                  1369.8                     -0.13236062
                  1372.4                     -0.13601194
                    1375                     -0.13977869
                  1377.6                     -0.14366669
                  1380.2                     -0.14768188
                  1382.8                     -0.15183047
                  1385.4                     -0.15611879
                    1388                     -0.16055342
                  1390.6                     -0.16514154
                  1393.2                     -0.16989068
                  1395.8                     -0.17480909
                  1398.4                     -0.17990594
                    1401                     -0.18519071
                  1403.6                     -0.19067354
                  1406.2                     -0.19636496
                  1408.8                     -0.20227531
                  1411.4                     -0.20841448
                    1414                      -0.2147914
                  1416.6                     -0.22141366
                  1419.2                     -0.22828693
                  1421.8                     -0.23541404
                  1424.4                     -0.24279538
                    1427                     -0.25042815
                  1429.6                     -0.25830641
                  1432.2                     -0.26642112
                  1434.8                     -0.27476033
                  1437.4                     -0.28331008
                    1440                     -0.29205455
                  1442.6                     -0.30097701
                  1445.2                     -0.31006107
                  1447.8                     -0.31929139
                  1450.4                     -0.32865567
                    1453                     -0.33814504
                  1455.6                     -0.34775526
                  1458.2                     -0.35748879
                  1460.8                     -0.36735493
                  1463.4                     -0.37737039
                    1466                     -0.38755946
                  1468.6                     -0.39795501
                  1471.2                     -0.40859708
                  1473.8                      -0.4195317
                  1476.4                     -0.43081068
                    1479                     -0.44248954
                  1481.6                     -0.45462591
                  1484.2                     -0.46727762
                  1486.8                     -0.48050087
                  1489.4                     -0.49434861
                    1492                     -0.50886911
                  1494.6                     -0.52410368
                  1497.2                     -0.54008664
                  1499.8                      -0.5568437
                  1502.4                       -0.574393
                    1505                     -0.59274358
                  1507.6                     -0.61189568
                  1510.2                     -0.63184381
                  1512.8                     -0.65257673
                  1515.4                     -0.67407873
                    1518                     -0.69633146
                  1520.6                     -0.71931908
                  1523.2                     -0.74302856
                  1525.8                     -0.76745137
                  1528.4                     -0.79258792
                    1531                     -0.81845041
                  1533.6                      -0.8450618
                  1536.2                     -0.87245887
                  1538.8                     -0.90069179
                  1541.4                      -0.9298256
                    1544                     -0.95993613
                  1546.6                     -0.99111042
                  1549.2                       -1.023443
                  1551.8                      -1.0570336
                  1554.4                       -1.091985
                    1557                      -1.1283971
                  1559.6                      -1.1663636
                  1562.2                      -1.2059716
                  1564.8                      -1.2472979
                  1567.4                      -1.2904049
                    1570                      -1.3353369
                  1572.6                      -1.3821273
                  1575.2                      -1.4307946
                  1577.8                      -1.4813384
                  1580.4                        -1.53375
                    1583                       -1.588015
                  1585.6                      -1.6441133
                  1588.2                      -1.7020269
                  1590.8                      -1.7617461
                  1593.4                      -1.8232776
                    1596                      -1.8866446
                  1598.6                      -1.9518942
                  1601.2                      -2.0191032
                  1603.8                      -2.0883751
                  1606.4                       -2.159848
                    1609                      -2.2336845
                  1611.6                      -2.3100682
                  1614.2                      -2.3892076
                  1616.8                      -2.4713224
                  1619.4                       -2.556634
                    1622                      -2.6453533
                  1624.6                      -2.7376848
                  1627.2                      -2.8338098
                  1629.8                      -2.9338686
                  1632.4                      -3.0379657
                    1635                       -3.146169
                  1637.6                      -3.2584905
                  1640.2                      -3.3748994
                  1642.8                      -3.4953192
                  1645.4                      -3.6196465
                    1648                      -3.7477456
                  1650.6                      -3.8794737
                  1653.2                      -4.0146958
                  1655.8                      -4.1532984
                  1658.4                       -4.295221
                    1661                      -4.4404599
                  1663.6                      -4.5890768
                  1666.2                      -4.7412357
                  1668.8                      -4.8971891
                  1671.4                      -5.0572748
                    1674                      -5.2219023
                  1676.6                      -5.3915672
                  1679.2                      -5.5668173
                  1681.8                      -5.7482004
                  1684.4                      -5.9362787
                    1687                      -6.1315938
                  1689.6                      -6.3346079
                  1692.2                      -6.5457029
                  1694.8                       -6.765137
                  1697.4                      -6.9930486
                    1700                      -7.2294016
                  1702.6                      -7.4740098
                  1705.2                      -7.7265302
                  1707.8                      -7.9864677
                  1710.4                      -8.2532433
                    1713                      -8.5262034
                  1715.6                      -8.8046675
                  1718.2                      -9.0880672
                  1720.8                      -9.3759782
                  1723.4                      -9.6682045
                    1726                      -9.9648412
                  1728.6                      -10.266404
                  1731.2                      -10.573839
                  1733.8                      -10.888516
                  1736.4                      -11.212284
                    1739                       -11.54749
                  1741.6                      -11.896872
                  1744.2                      -12.263573
                  1746.8                      -12.651093
                  1749.4                      -13.063286
                    1752                      -13.504273
                  1754.6                      -13.978443
                  1757.2                      -14.490464
                  1759.8                      -15.045217
                  1762.4                      -15.647883
                    1765                      -16.303813
                  1767.6                       -17.01835
                  1770.2                      -17.796888
                  1772.8                      -18.644297
                  1775.4                      -19.564062
                    1778                      -20.556543
                  1780.6                      -21.616235
                  1783.2                      -22.726061
                  1785.8                      -23.848058
                  1788.4                      -24.912217
                    1791                      -25.810083
                  1793.6                      -26.413566
                  1796.2                      -26.633114
                  1798.8                       -26.47672
                  1801.4                      -26.042608
                    1804                      -25.454872
                  1806.6                      -24.811859
                  1809.2                      -24.173635
                  1811.8                      -23.570427
                  1814.4                      -23.014031
                    1817                      -22.506457
                  1819.6                      -22.044979
                  1822.2                      -21.624794
                  1824.8                      -21.240655
                  1827.4                      -20.887743
                    1830                      -20.561938
                  1832.6                      -20.259905
                  1835.2                      -19.979163
                  1837.8                      -19.718026
                  1840.4                      -19.475378
                    1843                       -19.25056
                  1845.6                      -19.043187
                  1848.2                      -18.852995
                  1850.8                      -18.679666
                  1853.4                      -18.522699
                    1856                       -18.38133
                  1858.6                      -18.254416
                  1861.2                      -18.140429
                  1863.8                      -18.037409
                  1866.4                      -17.943028
                    1869                      -17.854632
                  1871.6                      -17.769344
                  1874.2                      -17.684246
                  1876.8                      -17.596575
                  1879.4                      -17.503828
                    1882                      -17.404039
                  1884.6                      -17.295885
                  1887.2                      -17.178826
                  1889.8                      -17.053074
                  1892.4                      -16.919591
                    1895                      -16.779993
                  1897.6                      -16.636326
                  1900.2                      -16.490983
                  1902.8                      -16.346428
                  1905.4                      -16.205082
                    1908                      -16.069144
                  1910.6                      -15.940496
                  1913.2                      -15.820625
                  1915.8                      -15.710562
                  1918.4                      -15.610877
                    1921                       -15.52164
                  1923.6                      -15.442483
                  1926.2                      -15.372605
                  1928.8                       -15.31085
                  1931.4                      -15.255736
                    1934                      -15.205575
                  1936.6                      -15.158546
                  1939.2                      -15.112831
                  1941.8                      -15.066696
                  1944.4                      -15.018622
                    1947                       -14.96741
                  1949.6                      -14.912235
                  1952.2                      -14.852697
                  1954.8                      -14.788836
                  1957.4                      -14.721096
                    1960                      -14.650277
                  1962.6                      -14.577432
                  1965.2                      -14.503795
                  1967.8                      -14.430646
                  1970.4                      -14.359249
                    1973                      -14.290743
                  1975.6                      -14.226046
                  1978.2                      -14.165859
                  1980.8                      -14.110578
                  1983.4                      -14.060292
                    1986                      -14.014797
                  1988.6                      -13.973602
                  1991.2                      -13.935964
                  1993.8                      -13.900952
                  1996.4                      -13.867464
                    1999                      -13.834364
                  2001.6                      -13.800505
                  2004.2                      -13.764826
                  2006.8                      -13.726433
                  2009.4                      -13.684638
                    2012                      -13.639011
                  2014.6                      -13.589423
                  2017.2                      -13.536012
                  2019.8                      -13.479175
                  2022.4                      -13.419533
                    2025                      -13.357866
                  2027.6                      -13.295045
                  2030.2                      -13.231972
                  2032.8                       -13.16951
                  2035.4                      -13.108431
                    2038                      -13.049367
                  2040.6                      -12.992769
                  2043.2                      -12.938907
                  2045.8                       -12.88783
                  2048.4                      -12.839408
                    2051                      -12.793317
                  2053.6                      -12.749088
                  2056.2                       -12.70614
                  2058.8                      -12.663809
                  2061.4                      -12.621426
                    2064                      -12.578335
                  2066.6                      -12.533952
                  2069.2                      -12.487847
                  2071.8                      -12.439689
                  2074.4                      -12.389357
                    2077                      -12.336903
                  2079.6                      -12.282572
                  2082.2                      -12.226734
                  2084.8                      -12.169947
                  2087.4                      -12.112816
                    2090                      -12.056036
                  2092.6                       -12.00028
                  2095.2                      -11.946224
                  2097.8                      -11.894457
                  2100.4                      -11.845461
                    2103                      -11.799629
                  2105.6                      -11.757152
                  2108.2                      -11.718112
                  2110.8                      -11.682418
                  2113.4                      -11.649865
                    2116                      -11.620071
                  2118.6                      -11.592568
                  2121.2                      -11.566822
                  2123.8                      -11.542238
                  2126.4                      -11.518237
                    2129                      -11.494269
                  2131.6                      -11.469846
                  2134.2                      -11.444608
                  2136.8                      -11.418282
                  2139.4                      -11.390779
                    2142                      -11.362161
                  2144.6                      -11.332606
                  2147.2                      -11.302448
                  2149.8                      -11.272096
                  2152.4                      -11.242037
                    2155                      -11.212781
                  2157.6                      -11.184848
                  2160.2                      -11.158688
                  2162.8                        -11.1347
                  2165.4                      -11.113167
                    2168                      -11.094251
                  2170.6                      -11.077981
                  2173.2                      -11.064255
                  2175.8                       -11.05284
                  2178.4                      -11.043384
                    2181                      -11.035411
                  2183.6                      -11.028417
                  2186.2                      -11.021827
                  2188.8                      -11.015105
                  2191.4                      -11.007735
                    2194                      -10.999256
                  2196.6                      -10.989347
                  2199.2                      -10.977789
                  2201.8                      -10.964537
                  2204.4                      -10.949667
                    2207                      -10.933412
                  2209.6                      -10.916111
                  2212.2                      -10.898225
                  2214.8                      -10.880257
                  2217.4                       -10.86277
                    2220                      -10.846286
                  2222.6                      -10.831319
                  2225.2                      -10.818298
                  2227.8                      -10.807553
                  2230.4                      -10.799314
                    2233                      -10.793668
                  2235.6                      -10.790571
                  2238.2                      -10.789858
                  2240.8                      -10.791232
                  2243.4                      -10.794316
                    2246                      -10.798642
                  2248.6                      -10.803701
                  2251.2                      -10.808978
                  2253.8                      -10.813976
                  2256.4                      -10.818275
                    2259                      -10.821535
                  2261.6                      -10.823538
                  2264.2                      -10.824212
                  2266.8                      -10.823623
                  2269.4                      -10.821983
                    2272                      -10.819657
                  2274.6                      -10.817097
                  2277.2                      -10.814882
                  2279.8                      -10.813623
                  2282.4                      -10.813955
                    2285                      -10.816523
                  2287.6                      -10.821894
                  2290.2                      -10.830585
                  2292.8                      -10.842987
                  2295.4                      -10.859361
                    2298                      -10.879837
                  2300.6                      -10.904382
                  2303.2                      -10.932799
                  2305.8                      -10.964749
                  2308.4                      -10.999756
                    2311                      -11.037233
                  2313.6                      -11.076533
                  2316.2                      -11.116946
                  2318.8                      -11.157804
                  2321.4                      -11.198461
                    2324                      -11.238413
                  2326.6                      -11.277286
                  2329.2                      -11.314905
                  2331.8                      -11.351304
                  2334.4                       -11.38677
                    2337                      -11.421806
                  2339.6                      -11.457169
                  2342.2                      -11.493812
                  2344.8                      -11.532887
                  2347.4                       -11.57568
                    2350                      -11.623588
                  2352.6                      -11.678083
                  2355.2                      -11.740644
                  2357.8                      -11.812739
                  2360.4                       -11.89578
                    2363                      -11.991039
                  2365.6                      -12.099665
                  2368.2                      -12.222609
                  2370.8                      -12.360567
                  2373.4                      -12.513952
                    2376                      -12.682847
                  2378.6                      -12.866929
                  2381.2                       -13.06538
                  2383.8                      -13.276935
                  2386.4                       -13.49975
                    2389                      -13.731349
                  2391.6                       -13.96866
                  2394.2                      -14.207994
                  2396.8                      -14.445062
                  2399.4                      -14.675133
                    2402                      -14.893158
                  2404.6                      -15.094009
                  2407.2                      -15.272837
                  2409.8                      -15.425292
                  2412.4                      -15.547911
                    2415                      -15.638415
                  2417.6                      -15.695799
                  2420.2                      -15.720419
                  2422.8                       -15.71392
                  2425.4                      -15.679008
                    2428                      -15.619065
                  2430.6                      -15.538016
                  2433.2                      -15.439969
                  2435.8                      -15.328851
                  2438.4                      -15.208405
                    2441                      -15.082048
                  2443.6                      -14.952661
                  2446.2                      -14.822762
                  2448.8                      -14.694358
                  2451.4                      -14.569037
                    2454                      -14.448053
                  2456.6                      -14.332258
                  2459.2                      -14.222169
                  2461.8                      -14.118085
                  2464.4                      -14.019975
                    2467                      -13.927638
                  2469.6                      -13.840626
                  2472.2                        -13.7583
                  2474.8                      -13.679906
                  2477.4                      -13.604503
                    2480                       -13.53104
                  2482.6                      -13.458413
                  2485.2                      -13.385468
                  2487.8                         -13.311
                  2490.4                      -13.233858
                    2493                      -13.152972
                  2495.6                       -13.06734
                  2498.2                      -12.976098
                  2500.8                      -12.878635
                  2503.4                      -12.774418
                    2506                      -12.663238
                  2508.6                      -12.545108
                  2511.2                      -12.420177
                  2513.8                      -12.288901
                  2516.4                      -12.151884
                    2519                      -12.009898
                  2521.6                      -11.863877
                  2524.2                      -11.714799
                  2526.8                      -11.563718
                  2529.4                      -11.411723
                    2532                      -11.259782
                  2534.6                      -11.108877
                  2537.2                      -10.959903
                  2539.8                      -10.813528
                  2542.4                      -10.670393
                    2545                      -10.530934
                  2547.6                      -10.395428
                  2550.2                      -10.264016
                  2552.8                      -10.136666
                  2555.4                      -10.013217
                    2558                      -9.8934053
                  2560.6                      -9.7768567
                  2563.2                      -9.6631182
                  2565.8                      -9.5517212
                  2568.4                      -9.4421324
                    2571                      -9.3338673
                  2573.6                      -9.2264423
                  2576.2                      -9.1194197
                  2578.8                      -9.0124423
                  2581.4                      -8.9051955
                    2584                       -8.797456
                  2586.6                      -8.6890677
                  2589.2                      -8.5799683
                  2591.8                      -8.4701141
                  2594.4                      -8.3595041
                    2597                       -8.248224
                  2599.6                       -8.136311
                  2602.2                      -8.0238339
                  2604.8                      -7.9108645
                  2607.4                      -7.7974396
                    2610                      -7.6835979
                  2612.6                      -7.5693689
                  2615.2                      -7.4547242
                  2617.8                      -7.3396993
                  2620.4                      -7.2243079
                    2623                      -7.1085958
                  2625.6                      -6.9926723
                  2628.2                      -6.8766791
                  2630.8                      -6.7608638
                  2633.4                      -6.6455469
                    2636                      -6.5311008
                  2638.6                      -6.4180049
                  2641.2                      -6.3068346
                  2643.8                      -6.1981479
                  2646.4                      -6.0925987
                    2649                      -5.9908392
                  2651.6                      -5.8934778
                  2654.2                      -5.8010898
                  2656.8                      -5.7141626
                  2659.4                      -5.6330736
                    2662                      -5.5580889
                  2664.6                      -5.4893136
                  2667.2                      -5.4266954
                  2669.8                      -5.3700296
                  2672.4                      -5.3189359
                    2675                      -5.2728816
                  2677.6                      -5.2311928
                  2680.2                      -5.1930561
                  2682.8                      -5.1575715
                  2685.4                      -5.1237478
                    2688                      -5.0905484
                  2690.6                      -5.0569399
                  2693.2                      -5.0219135
                  2695.8                      -4.9845296
                  2698.4                      -4.9439606
                    2701                      -4.8995242
                  2703.6                      -4.8507208
                  2706.2                      -4.7972516
                  2708.8                      -4.7390483
                  2711.4                      -4.6762469
                    2714                      -4.6092105
                  2716.6                      -4.5384881
                  2719.2                      -4.4647615
                  2721.8                      -4.3888522
                  2724.4                      -4.3116242
                    2727                      -4.2339542
                  2729.6                      -4.1566915
                  2732.2                      -4.0805902
                  2734.8                      -4.0063061
                  2737.4                       -3.934347
                    2740                      -3.8650485
                  2742.6                       -3.798613
                  2745.2                      -3.7350871
                  2747.8                      -3.6743513
                  2750.4                      -3.6161884
                    2753                      -3.5602893
                  2755.6                       -3.506267
                  2758.2                      -3.4537152
                  2760.8                      -3.4022168
                  2763.4                      -3.3513789
                    2766                      -3.3008748
                  2768.6                      -3.2504414
                  2771.2                      -3.1998993
                  2773.8                      -3.1491903
                  2776.4                      -3.0983192
                    2779                       -3.047417
                  2781.6                      -2.9966695
                  2784.2                      -2.9463284
                  2786.8                      -2.8966956
                  2789.4                      -2.8480757
                    2792                       -2.800762
                  2794.6                      -2.7550195
                  2797.2                      -2.7110661
                  2799.8                      -2.6690441
                  2802.4                       -2.629005
                    2805                      -2.5909586
                  2807.6                      -2.5547905
                  2810.2                      -2.5203371
                  2812.8                      -2.4873704
                  2815.4                      -2.4556057
                    2818                      -2.4247403
                  2820.6                      -2.3944734
                  2823.2                      -2.3645002
                  2825.8                      -2.3345595
                  2828.4                      -2.3044452
                    2831                      -2.2740129
                  2833.6                      -2.2431997
                  2836.2                      -2.2120216
                  2838.8                      -2.1805822
                  2841.4                      -2.1490669
                    2844                      -2.1177057
                  2846.6                      -2.0867987
                  2849.2                      -2.0566722
                  2851.8                      -2.0276489
                  2854.4                      -2.0000443
                    2857                      -1.9741552
                  2859.6                       -1.950202
                  2862.2                      -1.9283638
                  2864.8                      -1.9087386
                  2867.4                      -1.8913373
                    2870                      -1.8761001
                  2872.6                      -1.8628907
                  2875.2                      -1.8515003
                  2877.8                      -1.8416635
                  2880.4                        -1.83307
                    2883                      -1.8253799
                  2885.6                      -1.8182374
                  2888.2                      -1.8112917
                  2890.8                      -1.8042057
                  2893.4                      -1.7966782
                    2896                      -1.7884534
                  2898.6                      -1.7793281
                  2901.2                      -1.7691668
                  2903.8                      -1.7578928
                  2906.4                      -1.7454979
                    2909                      -1.7320323
                  2911.6                      -1.7175971
                  2914.2                       -1.702332
                  2916.8                      -1.6864033
                  2919.4                      -1.6699899
                    2922                      -1.6532699
                  2924.6                      -1.6364082
                  2927.2                      -1.6195386
                  2929.8                      -1.6027705
                  2932.4                      -1.5861696
                    2935                      -1.5697666
                  2937.6                      -1.5535567
                  2940.2                      -1.5375038
                  2942.8                      -1.5215489
                  2945.4                      -1.5056223
                    2948                      -1.4896476
                  2950.6                      -1.4735582
                  2953.2                       -1.457307
                  2955.8                      -1.4408708
                  2958.4                      -1.4242584
                    2961                      -1.4075164
                  2963.6                      -1.3907232
                  2966.2                      -1.3739962
                  2968.8                      -1.3574707
                  2971.4                       -1.341307
                    2974                      -1.3256706
                  2976.6                      -1.3107273
                  2979.2                      -1.2966227
                  2981.8                      -1.2834841
                  2984.4                       -1.271402
                    2987                      -1.2604273
